      2 ?        S      0:00 [kthreadd]
    711 ?        I<     0:00  \_ [amdgpu_dm_hpd_r]
    712 ?        I<     0:00  \_ [dm_vblank_contr]
    713 ?        I      0:00  \_ [kworker/1:2-events]
    715 ?        S      0:00  \_ [card0-crtc0]
    716 ?        S      0:00  \_ [card0-crtc1]
    717 ?        S      0:00  \_ [card0-crtc2]
    718 ?        S      0:00  \_ [card0-crtc3]
    834 ?        S      0:00  \_ [jbd2/nvme0n1p10]
    835 ?        I<     0:00  \_ [ext4-rsv-conver]
    839 ?        I      0:00  \_ [kworker/7:2-events]
   1986 ?        S<     0:00  \_ [krfcommd]
   3621 ?        I      0:00  \_ [kworker/11:2-events]
   3622 ?        I      0:01  \_ [kworker/10:0-events]
   3623 ?        I      0:01  \_ [kworker/u32:0-events_unbound]
   3624 ?        I      0:00  \_ [kworker/9:0-events]
   3644 ?        I      0:00  \_ [kworker/1:0-events]
   3742 ?        D      0:01  \_ [kworker/u32:2+events_unbound]
   3745 ?        I      0:00  \_ [kworker/2:0-events]
   3780 ?        I      0:00  \_ [kworker/7:0]
   4495 ?        I      0:00  \_ [kworker/6:1]
   4505 ?        I      0:00  \_ [kworker/5:2-events]
   4519 ?        I      0:00  \_ [kworker/u32:3-events_unbound]
   4643 ?        I      0:00  \_ [kworker/2:2-events]
   4650 ?        I      0:00  \_ [kworker/9:2]
   4652 ?        I      0:00  \_ [kworker/11:1-events]
   4662 ?        I      0:00  \_ [kworker/5:0-events]
   4675 ?        I      0:00  \_ [kworker/1:1-events]
   4771 ?        D      0:00  \_ [kworker/u32:1+events_unbound]
   4809 ?        I      0:00  \_ [kworker/11:0-events]
      1 ?        Ss     0:01 /sbin/init splash
    376 ?        S<s    0:00 /lib/systemd/systemd-journald
    417 ?        Ss     0:00 /lib/systemd/systemd-udevd
    867 ?        Ss     0:00 /lib/systemd/systemd-resolved
    868 ?        Ssl    0:00 /lib/systemd/systemd-timesyncd
    899 ?        Ssl    0:00 /usr/lib/accountsservice/accounts-daemon
    900 ?        Ss     0:00 /usr/sbin/acpid
    901 ?        Ss     0:00 /usr/sbin/anacron -d -q -s
    903 ?        Ss     0:00 avahi-daemon: running [Laptop-Lendor.local]
    974 ?        S      0:00  \_ avahi-daemon: chroot helper
    904 ?        Ss     0:00 /usr/lib/bluetooth/bluetoothd
    906 ?        Ss     0:00 /usr/sbin/cron -f
    910 ?        Ss     0:01 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    912 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
    917 ?        Ssl    0:00 /usr/sbin/irqbalance --foreground
    921 ?        Ss     0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
    926 ?        Ssl    0:01 /usr/lib/policykit-1/polkitd --no-debug
    931 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
    941 ?        Ssl    0:01 /usr/lib/snapd/snapd
    942 ?        Ssl    0:00 /usr/libexec/switcheroo-control
    944 ?        Ss     0:00 /lib/systemd/systemd-logind
    947 ?        Ssl    0:00 /usr/lib/udisks2/udisksd
    949 ?        Ss     0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
   1014 ?        Ssl    0:00 /usr/sbin/ModemManager
   1018 ?        Ssl    0:00 /usr/sbin/cups-browsed
   1034 ?        Ss     0:00 /usr/sbin/privoxy --pidfile /run/privoxy.pid --user privoxy /etc/privoxy/config
   1071 ?        Ss     0:00 /usr/bin/tor --defaults-torrc /usr/share/tor/tor-service-defaults-torrc -f /etc/tor/torrc --RunAsDaemon 0
   1073 ?        Ssl    0:00 /usr/sbin/gdm3
   1919 ?        Sl     0:00  \_ gdm-session-worker [pam/gdm-password]
   2024 tty2     Ssl+   0:00      \_ /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   2026 tty2     Sl+    1:30          \_ /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
   2055 tty2     Sl+    0:00          \_ /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
   2122 ?        Ss     0:00              \_ /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
   1083 ?        Ss     0:00 /usr/sbin/cupsd -l
   1085 ?        S      0:00  \_ /usr/lib/cups/notifier/dbus dbus://
   1143 ?        Ssl    0:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   1241 ?        SNsl   0:00 /usr/libexec/rtkit-daemon
   1416 ?        Ssl    0:00 /usr/lib/upower/upowerd
   1786 ?        Ssl    0:00 /usr/libexec/colord
   1860 ?        Ssl    0:00 /usr/bin/whoopsie -f
   1865 ?        Ss     0:00 /usr/sbin/kerneloops --test
   1873 ?        Ss     0:00 /usr/sbin/kerneloops
   1928 ?        Ss     0:00 /lib/systemd/systemd --user
   1929 ?        S      0:00  \_ (sd-pam)
   1934 ?        S<sl   0:00  \_ /usr/bin/pulseaudio --daemonize=no --log-target=journal
   1936 ?        SNsl   0:00  \_ /usr/libexec/tracker-miner-fs
   1938 ?        Ss     0:00  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1958 ?        Ssl    0:00  \_ /usr/libexec/gvfsd
   2332 ?        Sl     0:00  |   \_ /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
   1964 ?        Sl     0:00  \_ /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1972 ?        Ssl    0:00  \_ /usr/libexec/gvfs-udisks2-volume-monitor
   1980 ?        Ssl    0:00  \_ /usr/libexec/gvfs-gphoto2-volume-monitor
   1987 ?        Ssl    0:00  \_ /usr/libexec/gvfs-mtp-volume-monitor
   1992 ?        Ssl    0:00  \_ /usr/libexec/gvfs-goa-volume-monitor
   1996 ?        Sl     0:00  \_ /usr/libexec/goa-daemon
   2003 ?        Sl     0:00  \_ /usr/libexec/goa-identity-service
   2009 ?        Ssl    0:00  \_ /usr/libexec/gvfs-afc-volume-monitor
   2154 ?        Ssl    0:00  \_ /usr/libexec/at-spi-bus-launcher
   2159 ?        S      0:00  |   \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   2181 ?        Ssl    0:00  \_ /usr/libexec/gnome-session-ctl --monitor
   2188 ?        Ssl    0:00  \_ /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
   2380 ?        Sl     0:00  |   \_ /usr/libexec/gsd-disk-utility-notify
   2407 ?        Sl     0:00  |   \_ /usr/libexec/evolution-data-server/evolution-alarm-notify
   3342 ?        Sl     0:00  |   \_ update-notifier
   2202 ?        Ssl    1:06  \_ /usr/bin/gnome-shell
   2242 ?        Sl     0:00  |   \_ ibus-daemon --panel disable --xim
   2246 ?        Sl     0:00  |       \_ /usr/libexec/ibus-dconf
